message;severity;node;stamp;topics;location
"No matching device found.... waiting for devices. Reason: openni2_wrapper::OpenNI2Device::OpenNI2Device(const string&) @ /tmp/binarydeb/ros-indigo-openni2-camera-0.2.7/src/openni2_device.cpp @ 74 : Device open failed
	Could not open \"1d27/0601@1/9\": USB transfer timeout!

";"2";"/chest_xtion/chest_xtion_nodelet_manager";"1502806306.924195207";"/chest_xtion/depth/image,/chest_xtion/depth/image/compressed,/chest_xtion/depth/image/compressed/parameter_descriptions,/chest_xtion/depth/image/compressed/parameter_updates,/chest_xtion/depth/image/compressedDepth,/chest_xtion/depth/image/compressedDepth/parameter_descriptions,/chest_xtion/depth/image/compressedDepth/parameter_updates,/chest_xtion/depth/image/theora,/chest_xtion/depth/image/theora/parameter_descriptions,/chest_xtion/depth/image/theora/parameter_updates,/chest_xtion/depth/points,/chest_xtion/depth_registered/points,/chest_xtion/depth_registered/sw_registered/camera_info,/chest_xtion/depth_registered/sw_registered/image_rect,/chest_xtion/depth_registered/sw_registered/image_rect/compressed,/chest_xtion/depth_registered/sw_registered/image_rect/compressed/parameter_descriptions,/chest_xtion/depth_registered/sw_registered/image_rect/compressed/parameter_updates,/chest_xtion/depth_registered/sw_registered/image_rect/compressedDepth,/chest_xtion/depth_registered/sw_registered/image_rect/compressedDepth/parameter_descriptions,/chest_xtion/depth_registered/sw_registered/image_rect/compressedDepth/parameter_updates,/chest_xtion/depth_registered/sw_registered/image_rect/theora,/chest_xtion/depth_registered/sw_registered/image_rect/theora/parameter_descriptions,/chest_xtion/depth_registered/sw_registered/image_rect/theora/parameter_updates,/chest_xtion/depth_registered/sw_registered/image_rect_raw,/chest_xtion/depth_registered/sw_registered/image_rect_raw/compressed,/chest_xtion/depth_registered/sw_registered/image_rect_raw/compressed/parameter_descriptions,/chest_xtion/depth_registered/sw_registered/image_rect_raw/compressed/parameter_updates,/chest_xtion/depth_registered/sw_registered/image_rect_raw/compressedDepth,/chest_xtion/depth_registered/sw_registered/image_rect_raw/compressedDepth/parameter_descriptions,/chest_xtion/depth_registered/sw_registered/image_rect_raw/compressedDepth/parameter_updates,/chest_xtion/depth_registered/sw_registered/image_rect_raw/theora,/chest_xtion/depth_registered/sw_registered/image_rect_raw/theora/parameter_descriptions,/chest_xtion/depth_registered/sw_registered/image_rect_raw/theora/parameter_updates,/rosout";"/tmp/binarydeb/ros-indigo-openni2-camera-0.2.7/src/openni2_driver.cpp:OpenNI2Driver::initDevice:738"
"finished speaking...";"2";"/ros_mary_bridge";"1502806296.355807065";"/pygame_player_negotiation,/rosout,/speak/cancel,/speak/feedback,/speak/goal,/speak/result,/speak/status";"marybridge.py:execute_cb:241"
"played";"2";"/ros_mary_bridge";"1502806296.315057992";"/pygame_player_negotiation,/rosout,/speak/cancel,/speak/feedback,/speak/goal,/speak/result,/speak/status";"marybridge.py:<module>:264"
"setting volume to 1.000000";"2";"/ros_mary_bridge";"1502806296.314675092";"/pygame_player_negotiation,/rosout,/speak/cancel,/speak/feedback,/speak/goal,/speak/result,/speak/status";"pygame_player.py:__set_volume:103"
"updated priority map: {'/ros_mary_bridge': 0.0}";"2";"/ros_mary_bridge";"1502806296.314364910";"/pygame_player_negotiation,/rosout,/speak/cancel,/speak/feedback,/speak/goal,/speak/result,/speak/status";"pygame_player.py:__priority_update:109"
"setting volume to 1.000000";"2";"/ros_mary_bridge";"1502806293.725543975";"/pygame_player_negotiation,/rosout,/speak/cancel,/speak/feedback,/speak/goal,/speak/result,/speak/status";"pygame_player.py:__set_volume:103"
"updated priority map: {'/ros_mary_bridge': 1.0}";"2";"/ros_mary_bridge";"1502806293.725303888";"/pygame_player_negotiation,/rosout,/speak/cancel,/speak/feedback,/speak/goal,/speak/result,/speak/status";"pygame_player.py:__priority_update:109"
"start playing sound";"2";"/ros_mary_bridge";"1502806293.724735021";"/pygame_player_negotiation,/rosout,/speak/cancel,/speak/feedback,/speak/goal,/speak/result,/speak/status";"pygame_player.py:play_sound:180"
